Clean Code,Corrupted Code,Gold output,Prediction1,Prediction2,Shuffle_Index,Better Label,
"def find_source(self, filename):
        
        source = None

        base, ext = os.path.splitext(filename)
        TRY_EXTS = {
            '.py':  ['.py', '.pyw'],
            '.pyw': ['.pyw'],
        }
        try_exts = TRY_EXTS.get(ext)
        if not try_exts:
            return filename, None

        for try_ext in try_exts:
            try_filename = base + try_ext
            if os.path.exists(try_filename):
                return try_filename, None
            source = self.coverage.file_locator.get_zip_data(try_filename)
            if source:
                return try_filename, source
        raise NoSource(""No source for code: '%s'"" % filename)","

def func1(arg1, arg2):
    var1 = None
    (var2, var3) = os.path.splitext(arg2)
    var4 = {'.py': ['.py', '.pyw'], '.pyw': ['.pyw']}
    var5 = TRY_EXTS.get(var3)
    if (not var5):
        return (arg2, None)
    for var6 in var5:
        var7 = (var2 + var6)
        if os.path.exists(var7):
            return (var7, None)
        var1 = self.coverage.file_locator.get_zip_data(var7)
        if var1:
            return (var7, var1)
    raise NoSource((""No source for code: '%s'"" % arg2))
",Find the source for filename .,Try to find a source file for the given code .,Find the source for the given filename .,0,Tie,
"def remove(request, video_id):
    

    # prepare redirection url
    try:
        next_url = settings.YOUTUBE_DELETE_REDIRECT_URL
    except AttributeError:
        next_url = reverse(""django_youtube.views.upload"")

    # Remove from db
    try:
        Video.objects.get(video_id=video_id).delete()
    except:
        from django.contrib import messages
        messages.add_message(
            request, messages.ERROR, _('Video could not be deleted.'))

    # Return to upload page or specified page
    return HttpResponseRedirect(next_url)","

def func1(arg1, arg2):
    try:
        var1 = settings.YOUTUBE_DELETE_REDIRECT_URL
    except AttributeError:
        var1 = reverse('django_youtube.views.upload')
    try:
        Video.objects.get(video_id=video_id).delete()
    except:
        from django.contrib import messages
        messages.add_message(arg1, messages.ERROR, _('Video could not be deleted.'))
    return HttpResponseRedirect(var1)
",Removes the video from youtube and from db Requires POST,Delete a video .,Remove a video .,0,Tie,
"def dict_self(self):
        
        return {k: v for k, v in self.__dict__.items() if k in FSM_ATTRS}","

def func1(arg1):
    return {var1: var2 for (var1, var2) in self.__dict__.items() if (var1 in var3)}
",Return the self object attributes not inherited as dict .,Return a copy of the FSM as a dictionary .,Return a dict of variables that are equal to arg1 .,1,Prediction1,
"def album_tracks(self, spotify_id, limit=20, offset=0, market='US'):
        
        route = Route('GET', '/albums/{spotify_id}/tracks', spotify_id=spotify_id)
        payload = {'limit': limit, 'offset': offset}

        if market:
            payload['market'] = market

        return self.request(route, params=payload)","

def func1(arg1, arg2, arg3=20, arg4=0, arg5='US'):
    var1 = Route('GET', '/albums/{spotify_id}/tracks', spotify_id=arg2)
    var3 = {'limit': arg3, 'offset': arg4}
    if arg5:
        var3['market'] = arg5
    return self.request(var1, params=var3)
",Get an albums tracks by an ID .,Get a list of tracks for a given album .,Request tracks from Spotify .,1,Tie,
"def _load(self, load_dict):
        
        for key in list(load_dict.keys()):
            # We delete keys over time:
            if key in load_dict:
                if SparseResult.IDENTIFIER in key:
                    new_key = key.split(SparseResult.IDENTIFIER)[0]

                    is_dia = load_dict.pop(new_key + SparseResult.IDENTIFIER + 'is_dia')

                    name_list = SparseParameter._get_name_list(is_dia)
                    rename_list = ['%s%s%s' % (new_key, SparseResult.IDENTIFIER, name)
                                   for name in name_list]

                    data_list = [load_dict.pop(name) for name in rename_list]
                    matrix = SparseParameter._reconstruct_matrix(data_list)
                    self._data[new_key] = matrix
                else:
                    self._data[key] = load_dict[key]","

def func1(arg1, arg2):
    for var1 in list(load_dict.keys()):
        if (var1 in arg2):
            if (SparseResult.IDENTIFIER in var1):
                var3 = key.split(SparseResult.IDENTIFIER)[0]
                var4 = load_dict.pop(((var3 + SparseResult.IDENTIFIER) + 'is_dia'))
                var5 = SparseParameter._get_name_list(var4)
                var6 = [('%s%s%s' % (var3, SparseResult.IDENTIFIER, var7)) for var7 in var5]
                var8 = [load_dict.pop(var7) for var7 in var6]
                var9 = SparseParameter._reconstruct_matrix(var8)
                self._data[var3] = var9
            else:
                self._data[var1] = arg2[var1]
",Loads data from load_dict,Load data from a dictionary .,This function is used to construct a sparse parameter from a dictionary .,1,Prediction1,
"def _writeResponse(self, response):
        
        encoded = dumps(response, default=_default)
        self.transport.write(encoded)","

def func1(arg1, arg2):
    var1 = dumps(arg2, default=var3)
    self.transport.write(var1)
",Serializes the response to JSON and writes it to the transport .,Write a single value to the transport .,Write a response to the transport .,0,Tie,
"def register_options_provider(self, provider, own_group=True):
        
        assert provider.priority <= 0, ""provider's priority can't be >= 0""
        for i in range(len(self.options_providers)):
            if provider.priority > self.options_providers[i].priority:
                self.options_providers.insert(i, provider)
                break
        else:
            self.options_providers.append(provider)
        non_group_spec_options = [
            option for option in provider.options if ""group"" not in option[1]
        ]
        groups = getattr(provider, ""option_groups"", ())
        if own_group and non_group_spec_options:
            self.add_option_group(
                provider.name.upper(),
                provider.__doc__,
                non_group_spec_options,
                provider,
            )
        else:
            for opt, optdict in non_group_spec_options:
                self.add_optik_option(provider, self.cmdline_parser, opt, optdict)
        for gname, gdoc in groups:
            gname = gname.upper()
            goptions = [
                option
                for option in provider.options
                if option[1].get(""group"", """").upper() == gname
            ]
            self.add_option_group(gname, gdoc, goptions, provider)","

def func1(arg1, arg2, arg3=True):
    assert (provider.priority <= 0), ""provider's priority can't be >= 0""
    for var1 in range(len(self.options_providers)):
        if (provider.priority > self.options_providers[i].priority):
            self.options_providers.insert(var1, arg2)
            break
    else:
        self.options_providers.append(arg2)
    var4 = [var5 for var5 in provider.options if ('group' not in var5[1])]
    var6 = getattr(arg2, 'option_groups', ())
    if (arg3 and var4):
        self.add_option_group(provider.name.upper(), provider.__doc__, var4, arg2)
    else:
        for (var8, var9) in var4:
            self.add_optik_option(arg2, self.cmdline_parser, var8, var9)
    for (var10, var11) in var6:
        var10 = gname.upper()
        var12 = [var5 for var5 in provider.options if (option[1].get('group', '').upper() == var10)]
        self.add_option_group(var10, var11, var12, arg2)
",register an options provider,Register an option provider .,Add an option to the command line parser .,1,Prediction1,
"def print_wordfreq(freqs, n=10):
    
    
    words, counts = freqs.keys(), freqs.values()
    items = zip(counts, words)
    items.sort(reverse=True)
    for (count, word) in items[:n]:
        print(word, count)","

def func1(arg1, arg2=10):
    (var1, var2) = (freqs.keys(), freqs.values())
    var3 = zip(var2, var1)
    items.sort(reverse=True)
    for (var5, var6) in var3[:arg2]:
        print(var6, var5)
",Print the n most common words and counts in the freqs dict .,Print n most frequent words .,prints the frequency of arg1 to arg2,1,Prediction1,
"def mkdirs(self, target):
    ''''''
    path = os.path.dirname(target)
    if path and path != PATH_SEP and not os.path.isdir(path):
      # Multi-threading means there will be intervleaved execution
      # between the check and creation of the directory.
      try:
        os.makedirs(path)
      except OSError as ose:
        if ose.errno != errno.EEXIST:
          raise Failure('Unable to create directory (%s)' % (path,))","

def func1(arg1, arg2):
    ''
    var1 = os.path.dirname(arg2)
    if (var1 and (var1 != var2) and (not os.path.isdir(var1))):
        try:
            os.makedirs(var1)
        except OSError as ose:
            if (ose.errno != errno.EEXIST):
                raise Failure(('Unable to create directory (%s)' % (var1,)))
",Ensure all directories are created for a given target file .,Create a directory if it doesn t exist .,Create a new directory if it doesn t exist .,1,Tie,
"def validateAttrib(self, method, cls = None):
        
        # TODO: is there a need for case-sensitive value comparison?
        any = False
        for group in self.attribs:
            match = True
            for key, value in group:
                attr = get_method_attr(method, cls, key)
                if callable(value):
                    if not value(key, method, cls):
                        match = False
                        break
                elif value is True:
                    # value must exist and be True
                    if not bool(attr):
                        match = False
                        break
                elif value is False:
                    # value must not exist or be False
                    if bool(attr):
                        match = False
                        break
                elif type(attr) in (list, tuple):
                    # value must be found in the list attribute
                    if not str(value).lower() in [str(x).lower()
                                                  for x in attr]:
                        match = False
                        break
                else:
                    # value must match, convert to string and compare
                    if (value != attr
                        and str(value).lower() != str(attr).lower()):
                        match = False
                        break
            any = any or match
        if any:
            # not True because we don't want to FORCE the selection of the
            # item, only say that it is acceptable
            return None
        return False","

def func1(arg1, arg2, arg3=None):
    var1 = False
    for var2 in self.attribs:
        var3 = True
        for (var4, var5) in var2:
            var6 = get_method_attr(arg2, arg3, var4)
            if callable(var5):
                if (not value(var4, arg2, arg3)):
                    var3 = False
                    break
            elif (var5 is True):
                if (not bool(var6)):
                    var3 = False
                    break
            elif (var5 is False):
                if bool(var6):
                    var3 = False
                    break
            elif (type(var6) in (var11, var12)):
                if (not (str(value).lower() in [str(x).lower() for var13 in var6])):
                    var3 = False
                    break
            elif ((var5 != var6) and (str(value).lower() != str(attr).lower())):
                var3 = False
                break
        var1 = (var1 or var3)
    if var1:
        return None
    return False
",Verify whether a method has the required attributes The method is considered a match if it matches all attributes for any attribute group . .,Validate an attribute against a method .,returns True if arg1 == arg2 or arg3 == None,1,Prediction1,
